title,price,year,mileage,fuel_type,horsepower,transmission,location,registration,color,dealer,listing_date,features,link,images,page,_id,description
Audi A4,10000000,2016,92000,Petrol,2000,Automatic,Lahore,Islamabad,Black,Amir,"Oct 15, 2024","ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  CD Player,  Cruise Control,  DVD Player,  Immobilizer Key,  Keyless Entry,  Navigation System,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Sun Roof",https://www.pakwheels.com/used-cars/audi-a4-2016-for-sale-in-lahore-9085266,['670e55873c76c40f756a89b8'],page 1,670e55873c76c40f756a89c1,"Audi A4, Petrol, Automatic, Lahore, Islamabad, Black, ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  CD Player,  Cruise Control,  DVD Player,  Immobilizer Key,  Keyless Entry,  Navigation System,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Sun Roof"
Toyota Prado,27200000,2019,33000,Petrol,2700,Automatic,Lahore,Un-Registered,Attitude Black Mica,PakWheels,"Oct 15, 2024","ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  CD Player,  CoolBox,  Cruise Control,  DVD Player,  Immobilizer Key,  Keyless Entry,  Navigation System,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Sun Roof",https://www.pakwheels.com/used-cars/toyota-prado-2019-for-sale-in-lahore-9289614,['670e55873c76c40f756a89b9'],page 1,670e55873c76c40f756a89c2,"Toyota Prado, Petrol, Automatic, Lahore, Un-Registered, Attitude Black Mica, ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  CD Player,  CoolBox,  Cruise Control,  DVD Player,  Immobilizer Key,  Keyless Entry,  Navigation System,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Sun Roof"
Honda Civic,3750000,2012,96000,Petrol,1800,Automatic,Gujranwala,Islamabad,Black,Waleed Sheikh,"Oct 15, 2024","ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  CD Player,  Cruise Control,  Immobilizer Key,  Keyless Entry,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Sun Roof",https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-gujranwala-9250278,['670e55873c76c40f756a89bc'],page 1,670e55873c76c40f756a89c6,"Honda Civic, Petrol, Automatic, Gujranwala, Islamabad, Black, ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  CD Player,  Cruise Control,  Immobilizer Key,  Keyless Entry,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Sun Roof"
Hyundai Tucson,8100000,2022,28000,Petrol,2000,Automatic,Lahore,Punjab,Polar White,PakWheels,"Oct 15, 2024","ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  Cruise Control,  Immobilizer Key,  Keyless Entry,  Navigation System,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Sun Roof",https://www.pakwheels.com/used-cars/hyundai-tucson-2022-for-sale-in-lahore-9280612,['670e55873c76c40f756a89ba'],page 1,670e55873c76c40f756a89c3,"Hyundai Tucson, Petrol, Automatic, Lahore, Punjab, Polar White, ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  Cruise Control,  Immobilizer Key,  Keyless Entry,  Navigation System,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Sun Roof"
Toyota Passo,1760000,2006,140000,Petrol,1000,Automatic,Lahore,Lahore,Snow White,PakWheels,"Oct 15, 2024","ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  CD Player,  Keyless Entry,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows",https://www.pakwheels.com/used-cars/toyota-passo-2006-for-sale-in-lahore-8892152,['670e55873c76c40f756a89bb'],page 1,670e55873c76c40f756a89c4,"Toyota Passo, Petrol, Automatic, Lahore, Lahore, Snow White, ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  CD Player,  Keyless Entry,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows"
Toyota Land,71500000,2022,7000,Petrol,3500,Automatic,Lahore,Un-Registered,Precious Wite Pearl,PakWheels,"Oct 15, 2024","ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  Cruise Control,  Immobilizer Key,  Keyless Entry,  Navigation System,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Sun Roof",https://www.pakwheels.com/used-cars/toyota-land-cruiser-2022-for-sale-in-lahore-9289663,['670e55873c76c40f756a89c7'],page 1,670e55873c76c40f756a89c9,"Toyota Land, Petrol, Automatic, Lahore, Un-Registered, Precious Wite Pearl, ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  Cruise Control,  Immobilizer Key,  Keyless Entry,  Navigation System,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Sun Roof"
Toyota Land,51500000,2020,12800,Petrol,4600,Automatic,Lahore,Un-Registered,White Pearl Crystal Shine,PakWheels,"Oct 15, 2024","ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  CoolBox,  Cruise Control,  DVD Player,  Immobilizer Key,  Keyless Entry,  Navigation System,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Sun Roof",https://www.pakwheels.com/used-cars/toyota-land-cruiser-2020-for-sale-in-lahore-9177876,['670e55873c76c40f756a89ca'],page 1,670e55873c76c40f756a89cc,"Toyota Land, Petrol, Automatic, Lahore, Un-Registered, White Pearl Crystal Shine, ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  CoolBox,  Cruise Control,  DVD Player,  Immobilizer Key,  Keyless Entry,  Navigation System,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Sun Roof"
Toyota Corolla,5200000,2019,103072,Petrol,1800,Automatic,Lahore,Lahore,Super White,PakWheels,"Oct 15, 2024","ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  CD Player,  Cruise Control,  DVD Player,  Front Speakers,  Immobilizer Key,  Keyless Entry,  Navigation System,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Rear Camera,  Rear Speakers,  Steering Switches,  USB and Auxillary Cable",https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-lahore-9317345,['670e55873c76c40f756a89cd'],page 1,670e55873c76c40f756a89cf,"Toyota Corolla, Petrol, Automatic, Lahore, Lahore, Super White, ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  CD Player,  Cruise Control,  DVD Player,  Front Speakers,  Immobilizer Key,  Keyless Entry,  Navigation System,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Rear Camera,  Rear Speakers,  Steering Switches,  USB and Auxillary Cable"
Toyota Corolla,9650000,2024,10,Hybrid,1800,Automatic,Lahore,Un-Registered,Platinum White Pearl,PakWheels,"Oct 15, 2024","ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  Cruise Control,  Immobilizer Key,  Keyless Entry,  Navigation System,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Sun Roof",https://www.pakwheels.com/used-cars/toyota-corolla-cross-2024-for-sale-in-lahore-9289642,['670e55873c76c40f756a89d0'],page 1,670e55873c76c40f756a89d2,"Toyota Corolla, Hybrid, Automatic, Lahore, Un-Registered, Platinum White Pearl, ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  Cruise Control,  Immobilizer Key,  Keyless Entry,  Navigation System,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Sun Roof"
Toyota Prado,27200000,2020,17000,Petrol,2700,Automatic,Lahore,Un-Registered,Attitude Black Mica,PakWheels,"Oct 15, 2024","ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  CD Player,  Cruise Control,  DVD Player,  Immobilizer Key,  Keyless Entry,  Navigation System,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Sun Roof",https://www.pakwheels.com/used-cars/toyota-prado-2020-for-sale-in-lahore-9085390,['670e55873c76c40f756a89d3'],page 1,670e55873c76c40f756a89d5,"Toyota Prado, Petrol, Automatic, Lahore, Un-Registered, Attitude Black Mica, ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  Alloy Rims,  CD Player,  Cruise Control,  DVD Player,  Immobilizer Key,  Keyless Entry,  Navigation System,  Power Locks,  Power Mirrors,  Power Steering,  Power Windows,  Sun Roof"
Suzuki Alto,1870000,2013,180000,Petrol,660,Automatic,Lahore,Karachi,Air Blue Metallic,PakWheels,"Oct 15, 2024","ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  CD Player,  Keyless Entry,  Power Locks,  Power Steering,  Power Windows",https://www.pakwheels.com/used-cars/suzuki-alto-2013-for-sale-in-lahore-9135815,['670e55893c76c40f756a89d6'],page 1,670e55893c76c40f756a89d8,"Suzuki Alto, Petrol, Automatic, Lahore, Karachi, Air Blue Metallic, ABS,  AM/FM Radio,  Air Bags,  Air Conditioning,  CD Player,  Keyless Entry,  Power Locks,  Power Steering,  Power Windows"
